sample_num,sample_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,A10_S10,725387,57427,67628,8698,7328,2539,2155,1335,1159,854,670,547,447,348,275,212,203,190,196,147,191,134,133,141,108,111,117,95,89,95,90,99,70,94,82,78,65,69,65,61,48,44,52,43,30,42,37,32,36,36,23,26,29,30,33,25,27,24,33,30,36,19,29,24,32,21,23,31,22,24,26,23,14,21,19,16,12,12,21,13,9,21,16,8,27,17,11,11,9,15,18,14,21,20,12,13,15,12,21,16,3516
1,A11_S11,74710,79029,106639,100683,97917,83364,70406,55956,43574,32904,25068,18411,13929,10364,7875,5878,4613,3664,3026,2527,2180,1778,1524,1435,1270,1121,1051,936,871,800,750,678,607,566,544,472,485,462,425,397,364,356,336,290,338,310,297,284,271,285,288,268,248,228,210,232,223,229,238,221,231,201,213,212,193,202,204,198,188,205,216,182,162,165,163,148,160,160,163,154,140,146,150,130,129,170,151,140,156,139,128,161,131,137,128,124,130,123,111,106,13817
2,A12_S12,16247,24562,37614,47458,54464,59515,61962,61966,60140,56911,52467,47735,42342,37147,32330,27776,23291,19820,16470,13573,11515,9416,7693,6614,5363,4498,3674,3117,2786,2343,2074,1841,1576,1402,1339,1181,1164,1031,940,838,816,741,649,615,596,543,541,497,467,452,406,396,345,331,305,318,300,264,247,255,239,219,211,177,184,188,153,175,192,142,153,172,140,132,138,136,172,130,136,124,108,115,103,122,98,112,99,115,110,95,108,105,118,97,77,109,90,75,74,98,6052
3,A1_S1,11479,9835,15777,20351,25608,29740,33505,36440,38047,39155,39786,39593,38843,38295,36508,34772,33252,30942,28542,26504,24367,22234,20198,18391,16623,15020,13651,12223,10830,9816,8837,7914,6974,6374,5519,5147,4471,4080,3691,3301,3083,2751,2524,2285,2071,1899,1745,1778,1514,1402,1408,1302,1161,1149,991,1027,928,915,846,773,730,731,704,672,660,624,608,569,589,529,534,447,467,462,407,437,401,387,423,341,375,305,332,291,316,304,279,272,274,262,252,246,249,221,223,205,205,180,185,191,10596
4,A2_S2,54211,59361,81402,80691,82784,76605,69500,60327,51923,43319,35691,29136,23712,19004,15070,12282,9698,8063,6445,5426,4278,3591,3077,2594,2328,1867,1661,1570,1384,1294,1119,1029,902,862,800,761,703,624,597,542,521,467,470,416,407,406,360,335,342,312,322,287,290,266,236,226,249,249,208,200,192,218,204,193,201,194,181,175,173,178,178,156,144,162,155,146,136,161,162,153,147,139,134,142,125,139,122,119,133,132,127,133,152,138,146,119,111,120,137,87,15806
5,A3_S3,78547,85106,112206,105724,100952,84709,70974,54824,41977,30988,23084,16891,12521,9132,6753,5193,4085,3238,2589,2099,1838,1626,1454,1304,1189,1047,980,868,891,798,758,742,673,618,597,573,537,537,482,465,488,443,412,463,468,358,403,395,357,386,355,334,316,362,297,304,312,288,257,256,245,263,251,248,231,216,205,195,220,189,185,194,178,189,160,139,175,142,124,138,109,124,112,123,118,119,121,86,90,93,81,85,72,79,70,81,81,55,60,50,2153
6,A4_S4,72169,79543,106010,102096,99027,85155,71619,57395,45000,34165,25768,19226,14388,10657,7943,6115,4731,3837,3182,2640,2229,1944,1713,1433,1436,1248,1040,1067,943,953,818,778,720,729,639,640,659,579,537,516,453,482,469,425,452,418,392,382,365,350,314,311,325,295,259,297,229,281,238,274,233,227,236,231,213,215,180,187,168,140,166,154,133,126,129,133,87,109,123,127,113,92,87,86,85,83,61,74,77,56,62,71,48,47,48,44,41,49,43,37,1753
7,A5_S5,9769,11637,18529,24142,29845,35049,39476,42925,45558,46676,46845,46018,44640,42667,40368,37584,34552,31783,28761,25693,23040,20406,18149,15953,13875,12171,10381,9078,7887,6713,5885,4994,4486,3871,3335,3054,2631,2259,2026,1802,1582,1455,1291,1174,1148,1064,932,898,810,783,693,668,663,598,528,539,504,473,408,387,398,383,383,318,324,302,281,258,274,245,208,225,227,223,193,205,156,182,163,179,151,158,148,150,146,162,169,137,144,121,130,108,94,104,117,88,109,91,90,81,5936
8,A6_S6,35541,48991,70658,79339,85081,83000,78956,70208,61262,51643,42316,34065,27186,21198,16574,13065,10093,7881,6294,4898,4065,3234,2815,2189,1866,1621,1465,1299,1128,944,933,793,723,708,601,518,502,478,398,386,364,354,328,289,291,286,265,229,238,226,247,205,206,215,222,191,163,181,181,156,144,139,152,119,125,127,127,122,106,96,110,102,104,98,82,105,80,80,86,79,77,60,54,80,71,65,60,53,56,60,59,42,47,44,49,40,43,34,33,43,1667
9,A7_S7,9874,8250,13922,19210,25254,30202,34630,38192,41038,42739,43614,43677,42382,41344,39391,37225,35089,32124,29619,27279,24759,21793,19678,17659,15487,13631,11969,10663,9231,8172,7262,6278,5554,4937,4193,3724,3366,3022,2698,2491,2240,2052,1855,1745,1627,1491,1475,1352,1216,1139,1087,1013,964,1000,915,818,790,791,778,706,680,679,632,584,579,578,584,510,512,483,463,499,424,427,381,391,335,384,330,339,301,300,302,310,287,302,289,288,238,236,230,228,227,226,182,222,185,202,181,204,13262
10,A8_S8,21505,32842,49642,61292,70115,74707,75362,72558,66945,59820,51622,43991,36777,29480,24132,19038,15076,11704,9202,7437,5912,4756,4012,3259,2742,2308,1954,1758,1586,1387,1276,1106,1054,1017,886,808,797,616,633,598,522,420,453,436,404,350,338,321,341,272,263,270,219,218,222,193,185,171,205,171,150,171,138,134,118,147,131,118,117,101,111,110,94,107,92,101,99,105,90,100,73,92,97,100,85,97,92,87,82,93,87,84,53,68,75,62,75,56,53,67,3074
11,A9_S9,120003,111612,139184,113501,98703,73749,54600,38221,27267,18524,12779,9163,6447,4706,3796,2780,2352,1932,1760,1506,1281,1213,994,960,836,751,774,675,611,553,533,499,424,453,406,402,363,370,343,320,300,273,281,283,270,245,214,232,225,226,231,199,192,167,153,177,142,150,133,130,148,146,109,120,118,125,126,109,112,116,84,87,81,74,89,77,99,90,94,84,95,83,85,66,72,93,71,80,71,88,56,83,64,74,86,61,56,58,49,60,21564
12,B10_S22,59940,74949,99006,99214,97138,87003,73946,60778,48382,37908,28626,21660,16168,12019,9018,6911,5238,4227,3364,2890,2366,2109,1822,1595,1470,1377,1166,1144,1103,961,935,830,787,774,769,701,650,617,589,572,539,533,525,472,450,443,431,421,379,371,361,361,312,327,279,285,250,237,240,244,243,182,212,198,205,198,179,153,135,142,142,114,119,128,97,125,99,88,94,98,84,88,90,70,65,82,73,70,74,62,50,48,58,54,38,60,54,50,37,30,2302
