Checklist	ERC000011	ENA default sample checklist				
tax_id	scientific_name	sample_alias	sample_title	sample_description	collection date	geographic location (country and/or sea)
6282	Onchocerca volvulus	III_MF_10	III_MF_10	O. volvulus mf dissected from adult female uterus	2009-10-30	Ghana
6282	Onchocerca volvulus	III_MF_7	III_MF_7	O. volvulus mf dissected from adult female uterus	2009-10-30	Ghana
6282	Onchocerca volvulus	III_MF_8	III_MF_8	O. volvulus mf dissected from adult female uterus	2009-10-30	Ghana
6282	Onchocerca volvulus	III_MF_9	III_MF_9	O. volvulus mf dissected from adult female uterus	2009-10-30	Ghana
6282	Onchocerca volvulus	61G_MF_5	61G_MF_5	O. volvulus mf dissected from adult female uterus	2009-10-30	Ghana
6282	Onchocerca volvulus	61G_MF_8	61G_MF_8	O. volvulus mf dissected from adult female uterus	2009-10-30	Ghana
6282	Onchocerca volvulus	61G_MF_13	61G_MF_13	O. volvulus mf dissected from adult female uterus	2009-10-30	Ghana
6282	Onchocerca volvulus	63C_MF_16	63C_MF_16	O. volvulus mf dissected from adult female uterus	2009-10-30	Ghana
6282	Onchocerca volvulus	63C_MF_18	63C_MF_18	O. volvulus mf dissected from adult female uterus	2009-10-30	Ghana
6282	Onchocerca volvulus	63C_MF_12	63C_MF_12	O. volvulus mf dissected from adult female uterus	2009-10-30	Ghana
6282	Onchocerca volvulus	A1	A1	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	A10	A10	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	A11	A11	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	A2	A2	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	A3	A3	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	A4	A4	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	A5	A5	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	A6	A6	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	A7	A7	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	A8	A8	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	A9	A9	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	B1	B1	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	B10	B10	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	B11	B11	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	B12	B12	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	B2	B2	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	B3	B3	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	B4	B4	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	B5	B5	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	B6	B6	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	B7	B7	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	B8	B8	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	B9	B9	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	C10	C10	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	C11	C11	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	C12	C12	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	C2	C2	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	C4	C4	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	C5	C5	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	C6	C6	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	C7	C7	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	C8	C8	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	C9	C9	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	D1	D1	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	D2	D2	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	D3	D3	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	D5	D5	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	D6	D6	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
6282	Onchocerca volvulus	D7	D7	O. volvulus mf dissected from human skin-snip	2019-05-01	Ghana
