ogsampleid,sampleid,conc_ng_ul,well_on_gdna_plate
010-243-2-1_2_3_I,010-243-2-1_2_3_I_a,0.211,A1
010-243-2-1_2_3_I,010-243-2-1_2_3_I_b,0.199,A2
018-434-4-1_2_I,,0.046,A3
018-434-4-1_2_I,,0.046,A3
018-434-4-1_2_I,,0.152,A4
018-434-4-1_2_I,,0.152,A4
018-434-4-1_2_II,,0.072,A5
018-434-4-3_4_I_a,,0.107,A6
705-002-4-1_2_IV_i,,0.142,A7
705-002-4-1_2_III_d,,0.071,A8
705-002-4-1_2_III_c,,0.192,A9
705-002-4-1_2_IV_g_or_f,,0.035,A10
705-002-4-1_2_IV_g_or_f,,0.035,A10
705-002-4-1_2_IV_k,,0.046,A11
705-002-4-1_2_IV_b,,,A12
705-002-4-1_2_IV_g_or_f,,0.027,B1
705-002-4-1_2_IV_g_or_f,,0.027,B1
705-022-4-1_2_I_a,,0.154,B2
711-004-4-4_a,,0.176,B4 
711-004-6-2_a,,0.91,B3 
711-012-2_a,,0.07,B5
